subject,false_alarms,df,hits,group,b,d
3,0.533333333333333,45,0.8,Children,40,0.757969499665785
5,0.0612244897959183,49,0.224489795918367,Children,98,0.787458187992394
6,0.435897435897436,39,0.553191489361702,Children,47,0.295107854525308
8,0.3125,48,0.52,Children,50,0.538929994579403
12,0.260869565217391,46,0.521739130434783,Children,92,0.695185804767206
13,0.549019607843137,51,0.592233009708738,Children,103,0.110108116817336
14,0.434782608695652,46,0.765957446808511,Children,47,0.889809007273893
15,0.3,50,0.494949494949495,Children,99,0.511740435767727
16,0.22,50,0.387755102040816,Children,98,0.487018385843556
21,0.18,50,0.434343434343434,Children,99,0.750038418676917
22,0.454545454545455,44,0.6,Children,40,0.367532397457228
24,0.261904761904762,42,0.574468085106383,Children,47,0.825245390138495
26,0.442307692307692,52,0.66,Children,50,0.557584070652179
28,0.372549019607843,51,0.647058823529412,Children,51,0.702501655253836
30,0.0638297872340425,47,0.1,Children,90,0.241844785174031
31,0.274509803921569,51,0.663265306122449,Children,98,1.02062114516715
32,0.108695652173913,46,0.144444444444444,Children,90,0.172932318437265
33,0.238095238095238,42,0.578947368421053,Children,95,0.911644357178756
34,0.0638297872340425,47,0.367816091954023,Children,87,1.18575328441752
36,0.348837209302326,43,0.380952380952381,Children,42,0.0854812159269048
37,0.372549019607843,51,0.633663366336634,Children,101,0.666681372051153
39,0.195652173913043,46,0.63265306122449,Children,98,1.19614262177449
40,0.461538461538462,52,0.627450980392157,Children,51,0.421668326714921
41,0.411764705882353,51,0.696969696969697,Children,99,0.738712624633405
43,0.229166666666667,48,0.320987654320988,Children,81,0.276655278378436
47,0.159090909090909,44,0.447058823529412,Children,85,0.865105410526743
48,0.222222222222222,45,0.535714285714286,Children,84,0.85435202486215
49,0.0909090909090909,44,0.267441860465116,Children,86,0.714609464311398
54,0.0909090909090909,44,0.489795918367347,Children,49,1.30959710699568
56,0.416666666666667,48,0.622222222222222,Children,90,0.521750773892066
57,0.392156862745098,51,0.468085106382979,Children,94,0.19361759381617
59,0.333333333333333,51,0.4375,Children,48,0.273416614685287
61,0.0666666666666667,45,0.209302325581395,Children,43,0.692241541930629
62,0.26,50,0.561224489795918,Children,98,0.797419872188668
63,0.0625,48,0.382978723404255,Adults,94,1.23645369416615
65,0.28,50,0.612244897959184,Adults,98,0.868016335616345
69,0.224489795918367,49,0.451923076923077,Adults,104,0.636313136068178
70,0.352941176470588,51,0.680412371134021,Adults,97,0.846244182079273
71,0.224489795918367,49,0.564356435643564,Adults,101,0.919141076103609
72,0.115384615384615,52,0.196078431372549,Adults,102,0.342667271713953
73,0.176470588235294,51,0.58252427184466,Adults,103,1.13725491906692
78,0.372549019607843,51,0.52,Adults,100,0.375263294890016
79,0.333333333333333,51,0.58252427184466,Adults,103,0.639082726715105
84,0.239130434782609,46,0.555555555555556,Children,90,0.848812802290886
88,0.428571428571429,42,0.54945054945055,Children,91,0.304285651876774
89,0.00943396226415094,52,0.28,Children,100,1.76528869346031
91,0.239130434782609,46,0.556701030927835,Adults,97,0.85171283413316
92,0.450980392156863,51,0.69,Children,100,0.619035118833333
93,0.215686274509804,51,0.509803921568627,Children,102,0.811422360519032
95,0.234042553191489,47,0.48936170212766,Children,47,0.698928810818402
96,0.282051282051282,39,0.6,Children,90,0.830105667643598
97,0.446808510638298,47,0.45360824742268,Children,97,0.0171786011228657
98,0.442307692307692,52,0.666666666666667,Children,102,0.575848240506232
99,0.142857142857143,42,0.24,Children,50,0.361267961038054
100,0.489795918367347,49,0.595959595959596,Children,99,0.268483285009342
104,0.145833333333333,48,0.479166666666667,Children,96,1.00222727139411
108,0.352941176470588,51,0.441176470588235,Children,102,0.229404834102715
113,0.244897959183674,49,0.568421052631579,Children,95,0.862989157251954
116,0.166666666666667,42,0.475609756097561,Children,82,0.90624615506315
123,0.134615384615385,52,0.466019417475728,Adults,103,1.01955579888323
124,0.318181818181818,44,0.386363636363636,Children,88,0.183979765917804
125,0.115384615384615,52,0.288659793814433,Children,97,0.641075474538259
127,0.384615384615385,52,0.705882352941177,Adults,102,0.834776317250282
128,0.294117647058823,51,0.519607843137255,Adults,102,0.590564464168646
131,0.235294117647059,51,0.519230769230769,Adults,104,0.769745357538265
134,0.134615384615385,52,0.407766990291262,Adults,103,0.871542855658895
135,0.22,50,0.47,Adults,100,0.696923352088855
137,0.333333333333333,45,0.551724137931035,Children,87,0.560745882602542
138,0.274509803921569,51,0.524271844660194,Adults,103,0.660107943084808
139,0.14,50,0.323529411764706,Children,102,0.622467409802461
140,0.254901960784314,51,0.317307692307692,Adults,104,0.183902286599962
143,0.461538461538462,52,0.58,Adults,50,0.29845209443149
145,0.442307692307692,52,0.679611650485437,Adults,103,0.611734060473157
146,0.38,50,0.702970297029703,Adults,101,0.838443480633694
147,0.272727272727273,44,0.633333333333333,Children,90,0.945280173671033
149,0.3,50,0.647058823529412,Children,51,0.901792456536595
150,0.346153846153846,52,0.650485436893204,Adults,103,0.78235667191359
151,0.3,50,0.47,Adults,100,0.449130650608211
152,0.307692307692308,52,0.601941747572815,Adults,103,0.760778524376549
154,0.153846153846154,52,0.5,Adults,102,1.0200762327862
155,0.25,52,0.509803921568627,Adults,102,0.699067011260109
158,0.403846153846154,52,0.514563106796117,Adults,103,0.279916584238038
159,0.25,52,0.54368932038835,Adults,103,0.784222458938491
160,0.230769230769231,52,0.519607843137255,Adults,102,0.785485296415688
161,0.196078431372549,51,0.495145631067961,Adults,103,0.843544031883451
162,0.288461538461538,52,0.644230769230769,Adults,104,0.927675440863418
163,0.38,50,0.612244897959184,Adults,98,0.590655616444526
164,0.627450980392157,51,0.794117647058824,Adults,102,0.495682376907098
166,0.26,50,0.557692307692308,Adults,52,0.788466346603691
167,0.365384615384615,52,0.650485436893204,Adults,103,0.730733838982118
168,0.333333333333333,48,0.575757575757576,Adults,99,0.621779305441632
169,0.211538461538462,52,0.621359223300971,Adults,103,1.11014707873977
170,0.3125,48,0.554455445544555,Adults,101,0.625702636878919
171,0.403846153846154,52,0.679611650485437,Adults,103,0.710017297073014
172,0.153846153846154,52,0.574257425742574,Adults,101,1.20730005389506
173,0.490196078431373,51,0.568627450980392,Adults,102,0.197458093814794
175,0.3,50,0.5,Adults,102,0.524400512708041
179,0.98,50,0.99,Children,49,0.272598963409019
181,0.153846153846154,52,0.382352941176471,Adults,102,0.720769322320535
183,0.365384615384615,52,0.504854368932039,Adults,103,0.356270861592537
184,0.46,50,0.54368932038835,Adults,103,0.210166429253879
185,0.326086956521739,46,0.673469387755102,Adults,49,0.90025777807205
186,0.294117647058823,51,0.64,Adults,100,0.899853878380282
187,0.387755102040816,49,0.58,Adults,100,0.48706830748698
188,0.28,50,0.36,Adults,100,0.224382714020022
189,0.117647058823529,51,0.365384615384615,Adults,52,0.842728969872802
190,0.307692307692308,52,0.588235294117647,Adults,102,0.725410054313722
191,0.274509803921569,51,0.44,Adults,100,0.448260652602567
192,0.490196078431373,51,0.682692307692308,Adults,104,0.499818011577272
193,0.32,50,0.39,Adults,100,0.188379764667054
194,0.456521739130435,46,0.545454545454545,Children,44,0.22338577601286
195,0.442307692307692,52,0.588235294117647,Adults,102,0.368128772151141
197,0.52,50,0.686274509803922,Adults,102,0.435164146790229
198,0.288461538461538,52,0.504854368932039,Adults,103,0.57005316154912
201,0.294117647058823,51,0.634615384615385,Adults,52,0.885497548012104
202,0.509803921568627,51,0.558823529411765,Adults,102,0.123409848661811
203,0.254901960784314,51,0.490384615384615,Adults,104,0.635038508132603
204,0.490196078431373,51,0.786407766990291,Adults,103,0.818596096787429
205,0.5,52,0.676470588235294,Adults,102,0.457851931012495
207,0.215686274509804,51,0.480769230769231,Adults,52,0.738622025899083
208,0.2,45,0.765957446808511,Adults,47,1.56721946376748
209,0.254901960784314,51,0.396039603960396,Adults,101,0.395531422588305
210,0.306122448979592,49,0.446601941747573,Adults,103,0.372620350373875
212,0.441860465116279,43,0.5,Children,40,0.14625393380431
213,0.326923076923077,52,0.769230769230769,Adults,104,1.18474140068206
214,0.211538461538462,52,0.557692307692308,Adults,52,0.946215470492724
215,0.18,50,0.588235294117647,Adults,51,1.13837291878318
216,0.229166666666667,48,0.333333333333333,Children,48,0.310866744566059
217,0.26530612244898,49,0.433734939759036,Children,83,0.460198562358415
219,0.333333333333333,51,0.525773195876289,Children,97,0.495376125568117
